league,name,hex,rgb,cmyk
nhl,Anaheim Ducks,"['010101', 'a2aaad', 'fc4c02', '85714d']","['1 1 1', '162 170 173', '252 76 2', '133 113 77']","['0.0 0.0 0.0 0.996078431372549', '6.3583815028901824 1.7341040462427848 0.0 0.32156862745098036', '0.0 69.84126984126983 99.20634920634922 0.0117647058823529', '0.0 15.037593984962417 42.10526315789473 0.4784313725490196']"
nhl,Arizona Coyotes,"['010101', '862633', 'ddcba4']","['1 1 1', '134 38 51', '221 203 164']","['0.0 0.0 0.0 0.996078431372549', '0.0 71.64179104477611 61.9402985074627 0.4745098039215686', '0.0 8.144796380090506 25.791855203619907 0.1333333333333333']"
nhl,Boston Bruins,"['010101', 'ffb81c']","['1 1 1', '255 184 28']","['0.0 0.0 0.0 0.996078431372549', '0.0 27.84313725490196 89.01960784313725 0.0']"
nhl,Buffalo Sabres,"['041e42', 'a2aaad', 'ffb81c', 'c8102e']","['4 30 66', '162 170 173', '255 184 28', '200 16 46']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '6.3583815028901824 1.7341040462427848 0.0 0.32156862745098036', '0.0 27.84313725490196 89.01960784313725 0.0', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Calgary Flames,"['010101', 'f1be48', 'c8102e']","['1 1 1', '241 190 72', '200 16 46']","['0.0 0.0 0.0 0.996078431372549', '0.0 21.161825726141075 70.12448132780082 0.05490196078431375', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Carolina Hurricanes,"['010101', 'a2aaad', 'c8102e']","['1 1 1', '162 170 173', '200 16 46']","['0.0 0.0 0.0 0.996078431372549', '6.3583815028901824 1.7341040462427848 0.0 0.32156862745098036', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Chicago Blackhawks,"['010101', 'ff671f', 'ffd100', '001871', 'c8102e', '00843d', 'cc8a00']","['1 1 1', '255 103 31', '255 209 0', '0 24 113', '200 16 46', '0 132 61', '204 138 0']","['0.0 0.0 0.0 0.996078431372549', '0.0 59.6078431372549 87.84313725490196 0.0', '0.0 18.039215686274513 100.0 0.0', '100.0 78.76106194690266 0.0 0.5568627450980392', '0.0 92.0 77.0 0.21568627450980393', '100.0 0.0 53.78787878787878 0.48235294117647054', '0.0 32.352941176470594 100.0 0.19999999999999996']"
nhl,Colorado Avalanche,"['010101', '236192', 'a4a9ad', '6f263d']","['1 1 1', '35 97 146', '164 169 173', '111 38 61']","['0.0 0.0 0.0 0.996078431372549', '76.02739726027397 33.56164383561644 0.0 0.4274509803921569', '5.202312138728321 2.3121387283237076 0.0 0.32156862745098036', '0.0 65.76576576576576 45.045045045045036 0.5647058823529412']"
nhl,Columbus Blue Jackets,"['041e42', 'a4a9ad', 'c8102e']","['4 30 66', '164 169 173', '200 16 46']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '5.202312138728321 2.3121387283237076 0.0 0.32156862745098036', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Dallas Stars,"['010101', '006341', '8a8d8f']","['1 1 1', '0 99 65', '138 141 143']","['0.0 0.0 0.0 0.996078431372549', '100.0 0.0 34.34343434343434 0.611764705882353', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
nhl,Detroit Red Wings,['c8102e'],['200 16 46'],['0.0 92.0 77.0 0.21568627450980393']
nhl,Edmonton Oilers,"['00205b', 'cf4520']","['0 32 91', '207 69 32']","['100.0 64.83516483516483 0.0 0.6431372549019607', '0.0 66.66666666666667 84.54106280193237 0.18823529411764706']"
nhl,Florida Panthers,"['041e42', 'b9975b', 'c8102e']","['4 30 66', '185 151 91', '200 16 46']","['93.93939393939395 54.54545454545453 0.0 0.7411764705882353', '0.0 18.378378378378375 50.8108108108108 0.27450980392156865', '0.0 92.0 77.0 0.21568627450980393']"
nhl,Los Angeles Kings,"['010101', 'a2aaad']","['1 1 1', '162 170 173']","['0.0 0.0 0.0 0.996078431372549', '6.3583815028901824 1.7341040462427848 0.0 0.32156862745098036']"
